2024-11-25 18:03:25.081 - MPKMini - INFO - Initializing Akai MPK Mini automation...
2024-11-25 18:03:25.116 - MPKMini - INFO - Pygame MIDI initialized successfully
2024-11-25 18:04:53.754 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.800 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.848 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.896 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.942 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.988 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.031 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.074 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.119 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.164 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.211 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.257 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.303 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.344 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.391 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.444 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
